Mot-clé original;Label_91;ID_91;Source_91;Score_91
Environmental parameters;environmental parameter;http://data.loterre.fr/ark:/67375/BLH-ZKKF563R-D;BLH;97.9
Evolutionnary ecology;evolutionary ecology;http://data.loterre.fr/ark:/67375/BLH-N51T1G0F-V;BLH;97.6
Agricultural systems;agricultural system;http://data.loterre.fr/ark:/67375/BLH-PGRLLF5Z-T;BLH;97.4
agricultural systems;agricultural system;http://data.loterre.fr/ark:/67375/BLH-PGRLLF5Z-T;BLH;97.4
ecosystem modelling;ecosystem modeling;http://data.loterre.fr/ark:/67375/BLH-NQ6TF17R-6;BLH;97.3
Functional traits;functional trait;http://data.loterre.fr/ark:/67375/BLH-KPTQ65DD-D;BLH;97.0
functional traits;functional trait;http://data.loterre.fr/ark:/67375/BLH-KPTQ65DD-D;BLH;97.0
wildflower strips;wildflower strip;http://data.loterre.fr/ark:/67375/BLH-L4DM431G-T;BLH;97.0
Changement d'usage des terres;changement d’usage des terres;http://data.loterre.fr/ark:/67375/BLH-JQ2LKZ4V-3;BLH;96.6
feeding habits;feeding habit;http://data.loterre.fr/ark:/67375/BLH-H9ZNS4CC-Z;BLH;96.3
trophic chains;trophic chain;http://data.loterre.fr/ark:/67375/BLH-R3V45R72-P;BLH;96.3
plant-microbes interactions;plant-microbe interaction;http://data.loterre.fr/ark:/67375/BLH-G71P8CXM-Z;BLH;96.2
Empreinte eau;empreinte en eau;http://data.loterre.fr/ark:/67375/BLH-QSTQQWBZ-W;BLH;95.0
ecologie microbienne;écologie microbienne;http://data.loterre.fr/ark:/67375/BLH-S03D450V-9;BLH;95.0
leaf functional trait;functional trait;http://data.loterre.fr/ark:/67375/BLH-KPTQ65DD-D;BLH;95.0
riverbank;river bank;http://data.loterre.fr/ark:/67375/BLH-MCLRLXWF-L;BLH;94.7
Météorologie et climatologie;Météorologie / Climatologie;http://data.loterre.fr/ark:/67375/BLH-MTO;BLH;94.5
météorologie et climatologie;Météorologie / Climatologie;http://data.loterre.fr/ark:/67375/BLH-MTO;BLH;94.5
Edition du génome;édition du génome;http://data.loterre.fr/ark:/67375/BLH-HHMQRQMS-D;BLH;94.1
bushfire;bush fire;http://data.loterre.fr/ark:/67375/BLH-P8GBNF6K-T;BLH;94.1
toponyms;Toponym;http://data.loterre.fr/ark:/67375/BLH-TOPO;BLH;93.3
